,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
gitlab/chiemotono/mdcontactcom,-1.639782,-2.7326636,-0.8958858,4.429393,-0.5829767,-0.6309119,-1.818646,-0.18419854,-0.35650554,5.169175,-1.8967429,0.90542203,5.707109,1.9681938,1.650139,-4.558873,1.543186,5.1629033,-4.0196085,-3.0812361,-1.364302,-4.804147,0.3804882,0.6487649,0.44289163,-3.1075323,-4.4632883,2.6627946,4.8269186,-7.4917874,-3.736106,-1.5860164,-7.032048,-6.3123198,2.1807117,2.0406184,-4.1187963,1.7687618,0.9621941,1.3754512,0.0063823676,2.702758,-0.60985184,1.3267792,-0.45950538,2.7134438,-0.515796,-2.232097,5.2229433,2.7146964
gitlab/pyFBS/pyFBS,4.565115,-1.6742345,0.64371425,0.13205354,4.847053,-3.131725,2.6279292,-3.4279566,7.07046,-2.6495957,2.4161694,-1.3723071,-3.6396716,-2.3332062,-5.428422,2.6672733,1.466361,-3.6574066,0.20667577,-10.181096,-2.439899,-0.03166158,-3.5831752,-8.759388,-5.9550977,-0.5244805,-7.178139,-0.348544,6.3685355,-1.9999264,-0.35905987,5.2492275,-1.8019525,-8.136857,6.942075,1.9330705,-4.282467,0.47926885,10.385106,1.38634,-3.2361596,0.61581993,-4.744529,-1.2786139,-11.624035,3.9957297,-9.3163,-2.4376009,2.6462052,0.59169525
gitlab/cosmograil/PyCS3,0.76871914,-1.580836,1.4371904,-1.1207317,-8.112697,-0.76167387,-2.569559,3.9507442,-0.32479683,1.8638753,5.2891016,3.3463688,1.3363607,2.3051462,-5.7813106,0.5039547,-4.9205995,0.8403854,-1.6109982,-9.355679,2.4092202,6.711524,-3.185478,-2.9343824,-5.29292,-2.533342,-0.033387005,3.4972026,-1.4093546,-4.821641,3.1026626,1.8969767,0.20924948,3.285569,0.6988651,5.5650687,1.7713299,-2.044633,-1.4688046,-0.67504656,-1.5425309,-1.8318464,-3.597572,-2.2434618,-2.436833,3.0749161,3.8219159,0.50073117,-1.0834872,-4.4944344
gitlab/emd-dev/emd,2.6239495,-1.1595607,0.09066763,-1.4415586,-1.5100527,-1.2916427,-3.1743784,2.2712226,-0.10693438,2.1125226,2.596885,-3.2971027,-0.8755217,0.30308086,-1.8854889,3.2772467,-2.5988898,-2.25218,-3.7760983,-5.6627307,-1.9988933,-0.73996234,0.32761344,-4.8753295,-2.6016736,-2.413185,-1.6266809,0.29641175,1.960659,-8.5992775,-0.8831893,-3.0310388,-0.042002756,-2.9054852,5.107887,3.7796173,-0.16401272,0.29915854,4.287477,-2.5535743,3.2500374,-2.220602,-4.1412687,2.4426441,-0.79626495,1.6010196,-2.0558574,-0.53590876,4.4148993,2.3477418
gitlab/cracklet/cracklet,2.9784405,-0.7122713,-0.04389541,0.1790986,-0.74946517,-3.7532938,-1.4515697,-3.6225471,1.5053074,1.5859069,-2.6062946,-0.44174019,-2.6579292,0.19306909,1.8311505,-0.37503415,3.3620977,-1.55973,-0.81759804,-9.473839,-4.5187664,-0.36470005,-4.875704,0.115689695,0.047166772,0.3400968,1.1034766,2.802455,0.28332293,-0.102070145,2.3197186,4.3491497,1.6591535,-3.8151352,5.809655,0.20734636,1.6288289,0.30634707,4.1715436,-1.8196478,-4.332256,3.4097242,-3.0274425,0.62548333,-4.0669036,3.439675,-3.7229974,2.4416816,6.5321894,-5.7977138
gitlab/libreumg/dataquier,-3.1064694,0.59578454,-1.828094,3.8444386,-1.2819915,1.7974089,0.60595006,0.77778727,-1.0672073,-1.0401814,1.7949511,3.3259156,0.31199908,-0.5979163,-3.6517396,0.56735486,2.615849,-1.8373138,-3.5145926,2.3546183,-3.1406949,0.08818977,2.0678117,-3.4228797,3.5053844,3.132758,-3.2004528,-5.7573104,-6.4503284,-3.4538233,1.0105017,-0.62534523,1.5790411,-3.8058271,2.8514802,-0.31609714,-0.43265507,2.7484095,1.4500397,-0.3651205,-2.7300713,-2.5547457,-0.45827955,-3.500309,-0.647645,-3.8101246,3.198206,-3.3492062,-1.1097724,3.6883745
gitlab/metafundev/metafun,-2.235342,-1.1870174,0.09156149,-0.98269814,0.20410565,-0.19547929,-0.5315573,-0.54868734,0.0024143555,-0.5352793,0.13384281,-0.8053044,1.2686453,-0.6412818,0.26301563,-0.32691592,0.58150417,0.53876865,-1.2889576,-1.9018579,-0.52151126,-0.020905795,-1.3335755,-1.4887938,-0.0028199644,0.072914265,0.49823216,-0.40177485,1.2640435,-1.2016283,-0.25956532,0.620625,0.43998855,-1.1055795,0.07710463,-0.08138657,-1.914189,-1.5921032,1.1415982,0.99705666,-0.09779968,-0.7571679,0.8746707,-0.22278763,1.4525237,-0.23158363,0.46548125,0.7723935,2.4815953,-0.09617837
gitlab/ztzou/phydl,-1.7587812,0.27938285,-0.54244626,1.7190341,-1.0097271,1.5665704,1.3299385,0.11054245,-1.1648781,-0.04282582,0.1222109,1.8684558,2.4649124,2.0560203,2.2274835,-0.5157868,-1.149577,0.8994754,-1.2062285,0.81136394,-0.26640868,1.6575363,-1.789124,-0.7697076,1.6149637,-3.6120632,-1.4798231,0.20108524,0.25753367,0.4683601,0.6811054,-0.31226742,2.927721,-0.13652922,0.775327,0.26153752,-2.043789,-2.935679,-0.96202594,-0.7869456,-1.2342659,0.6892603,-1.6646372,-0.09862535,0.13136163,2.023568,1.696954,1.2093751,2.5140328,1.8899767
gitlab/BioimageInformaticsGroup/openphi,3.4171674,-3.4281132,2.6664135,-0.77536166,-3.522057,-1.2330453,-1.8885497,2.204861,-2.6792438,0.5943805,4.616285,0.73889536,0.83942664,-0.9208784,0.45299792,1.7154573,-0.21967277,-2.876513,-2.45314,1.783373,0.7011082,-0.11124899,-1.6656213,-3.9339383,-0.82493556,1.5606583,-1.2361794,-1.0972767,1.8544847,-2.1182725,-1.9658966,1.197812,-1.990631,-6.966377,2.5012004,-0.3401236,0.757044,-1.1524776,-1.5742369,-1.3393431,-2.7526128,0.021669399,-0.23922344,-1.1275537,1.9857864,1.0208426,-1.3578905,1.8682297,1.6588805,-2.5533965
gitlab/LouisLab/PiVR,6.024359,-4.424894,1.6549768,3.6331892,-4.8822393,-1.3771601,2.7372994,5.052576,-0.04232041,8.574302,-0.4168864,-0.41217193,3.536314,3.2505796,-0.38257706,-0.21135257,6.350517,0.17581244,-5.938342,-2.2539423,1.7605906,5.1023006,1.2441262,-2.6758955,-6.5617995,3.8038478,2.6018975,4.056655,2.6787248,-4.114839,-3.2505536,7.2897234,0.008562878,-2.2452936,4.1992593,6.8237014,-0.40138987,-3.7084694,4.697618,-9.466806,-5.726288,-0.4896093,-2.1547866,-3.9961314,-2.861423,3.3321826,-2.1339514,3.2798777,0.49552846,0.13545361
gitlab/ffaucher/hawen,2.6776521,0.24971089,1.1347405,1.4730624,0.43681967,1.8644677,2.5503867,-0.6642607,-2.040445,3.409022,3.4334855,2.7486255,0.97260994,-0.36671647,-2.6583962,2.0148637,0.8639055,1.6483345,0.69761616,-6.425849,1.4634768,0.8842298,-5.831156,3.0625281,-2.763764,0.09693845,-2.5617115,1.4218091,0.6703345,0.9261693,-0.6017529,1.9532496,2.8660862,-4.6991014,4.8585835,-2.95501,0.94900113,-1.4156051,-2.8476214,-1.7524462,-4.0260205,-0.9892281,-3.552278,-0.28871474,-5.8646526,-2.769425,-3.4068053,5.8957934,9.330593,-3.6900647
gitlab/gims-developers/gims,-6.1991568,1.9103755,2.3251448,-0.719851,-0.5786854,-7.1522293,1.8887556,0.09549325,1.4154752,3.8982844,2.0894783,-0.34918433,2.3999708,0.5365269,1.8102009,-5.0819273,5.1287217,-1.7820541,-1.3926293,-6.10634,-0.56895554,-3.6344554,-5.1225004,-1.0784484,1.4565277,0.35027272,0.29844728,-1.5376173,3.2374675,-0.075157374,-1.4708797,1.4167687,1.9040755,-2.574506,-1.1235895,-0.9657921,-3.577368,-1.4998529,2.1100852,-0.43615624,-6.058678,-0.9155567,-0.59135675,-4.487508,-2.6840072,-0.18030895,-5.230604,-4.165916,4.5361733,0.072450384
gitlab/vibes-developers/vibes,-4.8553095,2.616018,-0.3158311,1.3038607,-1.5147977,-1.0315514,-1.8409438,-3.0826316,-1.0827117,2.5996208,2.0333722,-1.7298267,5.8772182,-2.9449725,2.805237,0.7651537,5.4628553,-0.3169636,0.2311609,-10.952308,3.9613206,-1.8354304,-7.874482,-0.9882486,-0.8470788,-3.3845713,1.0860115,6.2334976,-4.923665,-2.089867,-1.2686079,-1.4828426,-0.83189213,-0.20265082,-1.8462603,1.2310939,-0.89349973,-2.0171225,3.5828903,-0.18681966,-5.466636,-2.1190202,-3.7096164,-2.0409708,-5.065315,0.8489549,-2.136914,-5.4880605,4.435442,-2.7152164
gitlab/project-dare/dare-platform,1.2167194,2.9701998,1.2678344,-2.4756095,1.4851323,-3.794773,-1.4632275,-2.7912822,-3.519304,6.7304807,1.771722,-0.05603704,3.4405713,-3.6471736,2.8499885,1.0768108,-1.8742102,-7.664976,0.44395363,-3.297396,-3.1287158,-0.49364015,-4.0260196,-3.4921775,5.5909266,0.7000262,-3.0372102,-1.0878894,-2.1948276,3.9979634,-4.0353494,-5.0769196,-2.0673213,-3.7469995,-0.77256197,0.650467,-2.5221043,1.4316088,3.2207203,5.006415,-3.6289775,3.3616195,1.2703176,-1.1682043,-0.06035668,1.1519116,-2.052019,-3.5131993,5.4427776,2.232087
gitlab/magnumpi/magnumpi,-1.8001093,-2.4228153,0.46145704,1.5144601,0.36445642,-4.802542,0.070837,-2.7452118,0.40405193,2.355823,-1.8098102,-0.30918247,5.1256566,-1.46084,-1.6553378,-4.8278794,1.8778218,-0.5877346,0.38590562,-6.363078,-1.7923144,-2.134095,-2.9745204,-2.385501,2.846674,-0.88421655,-2.1858187,1.0189154,1.2868872,0.7825297,-1.0891197,0.3493863,-1.7858125,-2.0439048,1.7001207,-1.1253237,-0.6282464,-1.2130786,3.3953204,-0.39238322,-3.257901,2.890861,0.05604046,1.515926,2.5271864,2.3700805,-3.921591,1.0344856,3.310648,-1.7835671
gitlab/ampere2/metalwalls,-2.590681,0.93187714,0.23050253,0.14229065,-0.011743261,1.4809352,0.68420565,-6.141928,-1.1356972,2.814093,1.0307668,2.7932396,1.8329439,-0.85080516,0.122801885,-3.1862352,0.81360704,-0.17424542,-2.3256748,-5.2572107,1.2231057,-0.69213474,-0.601593,-0.030293282,-0.22870047,-2.872739,-3.0082273,1.2622163,-1.0067041,1.0977527,0.8374226,-2.7350137,0.82481897,1.85465,3.5928242,0.51295316,-2.2020056,-1.024708,3.1342824,1.991193,-1.273864,-0.90233994,-3.9661064,0.29684293,-0.59474164,0.056829974,-4.4592175,3.3469448,6.7074623,1.012483
gitlab/remram44/taguette,1.3005582,-1.9674933,4.3619113,1.1513152,3.0383842,-5.601557,5.3778353,6.6767464,1.0370642,1.2256128,1.1503773,-1.4841583,5.160354,-4.118976,-4.373524,-4.8616986,-2.2037973,-3.5135806,-0.07250818,-1.7601905,-1.0402699,-1.6153451,-2.0165646,-4.6368103,1.7689286,2.8822548,2.7174447,-1.7258062,1.994599,0.53047836,-0.518526,1.7612283,-1.0256369,0.4612718,0.003614444,0.31502184,-1.3688036,-1.541806,5.8400598,-2.3439755,0.29189152,-0.949105,1.7481692,-0.97846156,-0.7894973,-0.31849426,-0.8623598,-6.3444304,4.2740254,3.5802767
gitlab/jason-rumengan/pyarma,0.38005602,-5.6226964,-1.1314523,1.7600126,0.39758652,0.68653494,2.962352,3.102526,0.99908584,0.09152125,0.38662952,0.7522934,-0.89043355,0.5424728,-0.3780807,-4.3892913,-1.2967958,-5.114731,-1.6922438,-5.458706,-0.8949561,1.0467131,1.3076696,-1.1453109,0.002633717,3.3986132,-2.4954762,0.07028802,1.0540237,3.3668816,0.5327609,3.1888537,-2.727408,-1.5527161,2.6430118,4.9021473,3.4328728,-2.361534,8.0504465,0.009430332,1.185499,3.569401,-2.352187,1.6124452,-1.9011849,-0.10640278,-3.6840403,5.4597006,-1.0376829,-5.969446
gitlab/fduchate/predihood,2.0800006,-1.1496336,1.2968069,0.15882026,1.7152776,-1.0431433,-1.3164495,3.529408,4.4034934,-2.8649132,-0.9493225,3.4801548,3.3163278,-1.9610565,-0.23181029,-5.5412006,-0.2388934,0.42248252,-3.1019216,-1.3771813,0.08462216,-1.2029834,1.5402676,-2.1954203,-0.5599255,-0.70583767,-2.3585289,-3.8749177,3.0017319,4.0185385,-0.19054213,-0.90706575,0.08729568,0.79604286,-1.7300093,2.415236,1.9197273,-3.245329,-1.7695731,-0.043409824,-3.1346543,-1.9208492,-2.6704504,-0.37923375,0.092775404,4.140678,0.10842107,-5.596603,0.22660781,2.590634
gitlab/mainlabwsu/bims,-1.1618905,-0.49757266,0.9043468,0.5775081,0.117696404,-0.7592635,-0.51562244,0.1602123,-0.12261378,-0.09889305,0.82210374,1.1873186,1.3564527,-0.8827368,0.29481047,-1.2543033,-1.1337675,-0.69868803,-2.310985,-0.7976216,-0.9552235,0.6152926,0.044223536,-0.0057882727,-0.8138761,-0.8515899,-0.112834826,-1.3842037,-0.20580897,0.57589346,-1.9648553,-0.4996233,-0.7589604,0.37600565,-0.9232428,0.47842103,-0.52996516,-2.6584,1.0659859,-0.31458125,-1.6948167,2.0482025,-0.8323698,-0.9086781,-0.60230315,0.7534637,1.3448737,0.4172126,2.2662678,1.0770651
gitlab/ChemBioHub/tpmap,-0.47411487,2.269273,3.937264,3.413247,0.94175154,1.2931929,-0.2078135,2.1833072,0.8869256,8.547632,-0.21239376,1.5905099,1.0017697,-0.9883987,-1.1945305,-1.1964974,0.9010354,4.2303724,-7.705893,1.9855692,-4.6127176,-2.0870228,-1.6244823,-3.8755188,2.2946665,-3.5772374,-1.7150325,-0.20646803,0.7206444,-1.1353968,-3.696973,1.8021195,0.7195043,-3.4111395,-2.02894,1.1362427,-4.532256,2.3620405,-0.985577,2.032737,-2.5070422,-3.0092857,-0.14508717,-0.62252265,-3.5289767,0.94245994,0.8685738,-4.395523,2.738997,4.274198
gitlab/davidtourigny/dynamic-fba,0.7443428,-4.2090206,-1.239666,0.7091851,-1.1896958,1.5955073,0.42079487,-1.9280233,0.012372554,-1.1429052,0.26924577,1.0183811,0.17384817,1.8128943,1.0936071,0.15151118,-1.0878979,-0.29847884,-2.242244,-5.2223086,-1.620096,1.7944002,0.029939637,-1.4699527,-0.19571148,-1.2749661,-0.2442374,-1.450704,0.6108987,-0.4038332,0.147633,1.4224935,1.8693105,-2.3200922,3.2060306,1.882268,-0.19103336,-0.3253481,4.528425,1.1648628,-2.0757127,2.722963,-1.5664483,0.8511056,-3.8814583,3.363885,-4.18691,4.7094812,2.4771988,-1.074585
gitlab/vincent-sater/umigen,-5.7137437,-2.6792855,-3.6646776,6.0583777,-0.2786135,5.3646913,1.6758571,2.6766653,-0.4710393,7.4647994,0.63381153,2.6934273,-1.688672,-1.4487536,-3.3452678,-0.29253832,3.1966887,0.85289115,-3.8919363,-5.126856,2.455684,-0.29892716,0.79513633,-3.1887195,-0.3586254,-2.5526066,0.91526914,-0.57958657,-0.86243296,-7.8371305,-1.7998966,-4.989313,-4.7165985,-8.669526,-4.801878,-1.299076,-0.4466863,-2.1429267,3.3313167,-1.8874723,3.6279886,-0.60463727,-0.98409766,-4.228244,-1.0534667,7.4330373,1.6324121,1.2431931,1.8904846,-4.881091
gitlab/geekysquirrel/bigx,2.309593,-4.200281,0.39126703,0.08080225,1.3391268,-2.2102945,1.0984073,-1.7075489,4.122096,0.17490207,-1.5134997,-1.1337919,1.3693116,-4.974557,-1.8339213,-2.0767734,-3.656772,0.37940416,-1.1116314,-2.8458169,2.6252432,-2.833353,-1.8554883,-3.6245828,0.2795472,3.8426855,-1.5700201,0.36264196,-0.030950906,5.879732,0.7797828,0.42686713,-3.2186744,-5.0929885,-0.8464231,1.2308357,3.4744856,-4.1729975,-0.9361502,-3.0947943,-3.994725,-1.838208,2.9776125,-5.8147187,3.9308083,0.610271,0.54505557,-5.2792645,2.7189443,1.769983
