name,x,y
0,-1.3182124,-1.8493656
1,-3.6283855,-14.743413
2,4.465911,-22.53817
3,-1.0366653,-9.973496
4,4.1520553,-18.13513
5,1.2599005,-6.792802
6,-9.217489,-1.3290752
7,5.382565,0.76794547
8,-6.6509256,7.808584
9,22.28548,-5.5617695
10,-2.8974009,-3.8993833
11,-2.535341,-4.455854
12,-2.961432,-4.6262045
13,-0.7898797,-15.657907
14,2.5777178,-7.3863306
15,1.4409044,-4.47103
16,-3.2026908,-4.1112237
17,1.0709673,-7.132708
18,-2.5679913,-4.0783725
19,-3.1146922,-3.9748192
20,-12.147643,-1.8537481
21,-3.2125714,-4.3644123
22,-6.0770297,-0.6816405
23,-10.832264,1.3500105
24,0.949983,-19.229256
25,12.727397,-8.342362
26,-4.690489,-12.333823
27,12.333128,-27.980003
28,-1.3176788,-1.8476174
29,21.222614,-0.7506832
30,7.853152,-19.353117
31,-13.082213,12.40975
32,-14.581907,8.185862
33,-17.007715,4.2000713
34,-22.863531,-7.3849597
35,-12.352654,-16.76506
36,15.637423,-6.621779
37,-12.85809,-4.840049
38,-21.282522,-12.916361
39,-18.846441,8.81062
40,-10.266987,-20.299137
41,-2.482313,-4.280085
42,15.144612,3.1444702
43,8.730963,-9.449193
44,22.824879,9.169947
45,-3.8091857,-27.075926
46,1.8940386,-26.36774
47,3.7706923,-6.1395783
48,-14.855416,-20.895144
49,-1.6603026,-22.84079
50,22.752062,-10.931912
51,1.4382032,-4.4740086
52,13.646174,6.7502365
53,-12.675761,-25.540806
54,-7.724368,-24.35087
55,-1.2229929,13.903794
56,3.357473,-8.682758
57,-20.01499,-19.185118
58,-0.67754316,-0.037720516
59,-16.27449,-16.15112
60,-3.1139035,-4.507929
61,-0.0757184,12.619379
62,-19.226336,-4.4391813
63,-0.7937375,-9.387928
64,-17.051546,-12.390846
65,-21.480408,3.7424347
66,-18.60929,-8.855515
67,-22.989046,-1.5555196
68,-15.712798,-2.8252277
69,-1.3427117,-0.7887798
70,9.534382,-6.2504025
