,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
gitlab/chiemotono/mdcontactcom,0.55063343,1.0912669,-4.074059,-2.6326199,-3.7281377,-5.2883577,1.6129509,2.7314994,-2.2935543,0.31373936,0.9045879,2.633045,-1.144323,-2.1369207,0.67724776,3.0147674,-0.7108475,3.56586,-1.1201825,4.403396,-3.970513,3.1113725,-1.4642794,-2.5266945,-2.6098106,-2.163245,-0.4157522,-2.2896547,-3.2789,-4.539277,3.073843,5.898262,-4.930475,0.8297337,-1.1413323,1.5328429,-5.47848,-0.29201186,-4.018025,3.744729,7.3381124,0.83019304,2.708733,-3.7765715,-2.261051,-5.810495,-8.349891,-2.5323882,2.4451835,1.5292351
gitlab/pyFBS/pyFBS,1.8722943,-0.28664535,-0.6904148,-3.102009,-0.2888346,-3.0070684,-0.30734536,2.5426176,0.9697719,0.49278754,0.47000808,1.0737127,0.9241654,3.667966,2.6219375,3.7043424,1.6412565,-1.6161263,2.7734482,2.2472997,-0.5361103,-4.157193,-2.6207476,2.3727665,1.9154692,0.10409656,1.0617125,-3.4379904,-2.5032923,1.9038303,1.0673532,1.7025038,0.57590455,2.3497148,0.8956668,0.84984106,-2.7624185,-2.1447914,0.26164165,2.6665907,2.452516,-0.095051825,0.83101964,-0.21819688,-2.2067199,-3.3460882,1.8147998,-4.690069,-2.543117,-2.267598
gitlab/cosmograil/PyCS3,-1.6196018,1.0719868,-2.7649784,4.2323656,3.2505047,-1.1405145,2.5905821,2.1413884,3.1819408,-3.6423497,3.1706595,4.5896387,-2.0084872,-3.2983623,2.1786973,-0.093204334,-1.22576,1.5430987,1.0110077,-1.2339685,-0.8022406,-0.7617941,-0.457104,4.423624,-0.6327087,-0.9005198,-5.344259,-3.141884,-0.63738036,2.1849566,3.067578,1.3194953,1.9008199,0.31344023,0.12382628,2.5920968,2.7215252,-2.1071336,-0.069085956,0.58667,0.75305146,-7.08049,0.5386367,-5.5184855,-1.5466118,2.3816233,-0.74477816,-3.7272189,-5.888813,-1.9721411
gitlab/emd-dev/emd,-1.5428042,-0.18954167,-0.37436867,1.5281659,-2.210618,-1.8709701,-1.122898,-0.07719199,-0.8962338,-0.74608296,1.6184874,4.5716696,-1.8629245,4.4529457,-1.2218266,0.9093258,0.71606344,0.80834496,-2.4455078,1.3687205,4.070149,1.6025869,-0.33885,3.5169957,0.47456843,3.102356,-1.0432887,-3.4404278,-0.62265337,3.8071318,0.54298216,2.4266517,-0.24073778,-0.72167015,0.7669851,0.3430323,0.29428396,-2.0775993,-2.6668186,-0.6321674,1.2034851,0.8689709,0.054478914,-1.9553152,0.6965888,-0.99250275,1.8440897,-4.7809763,-4.1604795,0.120462485
gitlab/cracklet/cracklet,4.4818277,0.011828914,1.735877,-2.207434,-3.6564124,-4.5642214,0.761757,-0.93718565,-1.8385247,0.20645332,2.2861586,0.9200762,1.7496575,0.10410954,1.8942065,-1.3715459,-1.3595495,-2.3789163,0.45029566,-2.3903196,-2.3478289,-0.37892994,-3.2148364,2.4523418,-1.0652498,2.2626288,2.2370164,-3.2422717,0.2121889,-0.790285,1.6938827,3.4474378,2.240351,5.221649,0.23725301,-1.0981299,-4.1535254,-6.3700314,-1.8641008,-0.23037378,3.172333,0.7091851,3.0989237,-1.8940125,-2.918662,-0.6327912,4.275568,-1.5491177,-0.9840369,-6.302408
gitlab/libreumg/dataquier,0.08065865,0.5761489,1.5916232,1.7365124,-2.3868308,0.69680935,-0.6347855,1.5399297,0.9039719,3.5663877,0.14872754,0.45132142,-1.8931285,-0.030339899,-1.4752498,0.8063773,0.98113793,-0.67183757,-2.4080637,1.5082847,-0.8984485,-0.41587093,-0.32220528,-0.4675462,1.0137454,-1.5655437,-0.45433426,-0.48124263,-1.0192266,-1.2217178,0.00818275,-2.9644945,1.4829373,0.10547939,0.113725804,4.8196135,4.746122,1.0114317,0.788765,1.869003,-1.0447454,1.0150288,-2.2297733,-0.75273496,1.8283986,-2.0309396,-1.3896723,-0.5425467,0.44928467,0.5710654
gitlab/metafundev/metafun,0.05943746,0.64463395,-1.0631957,-0.42945987,-0.7665766,-0.7351963,-0.5096732,1.0934496,-0.5953986,-0.65083396,1.0700738,0.20799588,0.7578421,-0.43852693,-1.2178218,1.1747627,0.8596038,0.09680133,-0.9788941,2.5306382,0.21075565,-1.2703825,0.026857434,0.19798537,-0.019115228,0.011065505,0.8081108,-0.8120741,0.46865574,0.41540062,1.8431631,0.85833323,0.89693165,2.7356513,0.1586503,0.52519345,-0.67390615,-0.15119712,-0.2784041,-1.1201527,1.3680254,0.55937034,0.5692826,-1.3137542,-0.058412276,-0.09074514,0.3075229,0.003535548,0.15316178,0.8583906
gitlab/ztzou/phydl,1.2744292,2.4332008,0.00532284,1.4156845,0.40901867,-0.2922173,-1.4021518,1.3591079,1.3093249,-2.987198,-0.7374643,2.081567,0.5443817,-0.43139833,0.9295542,-0.47893658,-2.3447156,4.3857813,-0.44732562,0.058827434,1.3429232,-0.23853931,0.7134233,-0.27544186,-0.9857957,1.9345467,-0.57572865,-0.78051543,-0.69987696,-1.8711833,2.9933453,1.4021316,-1.1468952,1.2672853,0.28316683,2.427006,1.814345,-1.97661,-0.9380656,-2.2734084,2.6303906,-1.8745048,-1.620696,-1.5193195,0.6654403,-2.232032,-0.06627151,-1.7881099,-0.5123547,1.4484732
gitlab/BioimageInformaticsGroup/openphi,-3.7818928,-2.5360768,3.1041324,-1.876745,-1.1169902,-2.2944338,4.655189,1.3829325,-1.3820888,0.7855543,-0.57051194,0.29654077,-0.57826245,0.038628176,-4.772255,-1.5604331,0.9235598,1.7524184,0.20135446,-0.71638066,0.8109137,-4.883444,-4.111782,-0.69727284,-0.9312509,-0.64918876,-2.8003507,-5.6301246,-2.1132452,1.5765936,-1.4532561,0.30026478,-3.05939,2.8512619,1.3487766,0.5854818,0.250088,-0.91271585,0.95392865,-3.0386674,-1.1089195,-4.776958,-0.8746351,-3.3644817,-0.15461294,-0.5377096,2.7878425,0.9957483,-1.595296,-1.0479704
gitlab/ffaucher/hawen,3.4206164,3.9146316,1.1904484,-0.7950329,-2.579881,-6.6292005,3.7255661,4.7977905,0.97396123,3.2601101,2.234406,3.5661373,2.5177028,2.9386573,-2.2164137,-3.0013096,2.754253,2.4651673,1.3823924,-6.0850353,-0.64148617,-2.04212,-4.1270814,0.34725004,-3.8417683,-0.014584956,-3.1644545,-2.7718666,-5.213811,0.611958,-0.006010977,1.8530885,-1.0938178,3.143155,-4.725365,0.36470097,-4.7941966,-2.8319092,-0.60651976,-1.541595,-0.3076328,1.0384921,6.8581448,-1.4906888,-1.6008216,-0.27250406,2.1363301,0.20585464,-1.1937344,-4.9436765
